variavel,lag_passos,lag_horas,correlacao,n,safra,line
env_temperature,98,16.333333333333332,0.19215757354020677,16768,2025,4
env_temperature,99,16.5,0.21013148403789925,16767,2025,4
env_temperature,100,16.666666666666668,0.22860053110057427,16766,2025,4
env_temperature,101,16.833333333333332,0.2469413705494679,16760,2025,4
env_temperature,102,17.0,0.26568671563793955,16756,2025,4
env_temperature,103,17.166666666666668,0.2844487392312228,16755,2025,4
env_temperature,104,17.333333333333332,0.30351628554818794,16754,2025,4
env_temperature,105,17.5,0.32251419201306064,16751,2025,4
env_temperature,106,17.666666666666668,0.3419793738613719,16750,2025,4
env_temperature,107,17.833333333333332,0.3615060930766491,16748,2025,4
env_temperature,108,18.0,0.38124585276200734,16747,2025,4
env_temperature,109,18.166666666666668,0.40071761506942044,16744,2025,4
env_temperature,110,18.333333333333332,0.4205920987191369,16743,2025,4
env_temperature,111,18.5,0.4401373035320626,16743,2025,4
env_temperature,112,18.666666666666668,0.45998379634801095,16742,2025,4
env_temperature,113,18.833333333333332,0.4795146694878114,16739,2025,4
env_temperature,114,19.0,0.4989518876934242,16736,2025,4
env_temperature,115,19.166666666666668,0.518233196251817,16733,2025,4
env_temperature,116,19.333333333333332,0.5372900908207245,16735,2025,4
env_temperature,117,19.5,0.5560417031585251,16731,2025,4
env_temperature,118,19.666666666666668,0.5749592855812785,16732,2025,4
env_temperature,119,19.833333333333332,0.5937469461836915,16732,2025,4
env_temperature,120,20.0,0.6120570967004538,16727,2025,4
env_temperature,121,20.166666666666668,0.6299569907398787,16727,2025,4
env_temperature,122,20.333333333333332,0.6477414583497707,16724,2025,4
env_temperature,123,20.5,0.6650725049724913,16724,2025,4
env_temperature,124,20.666666666666668,0.681957757415883,16721,2025,4
env_temperature,125,20.833333333333332,0.6984624078949011,16720,2025,4
env_temperature,126,21.0,0.7144811035059547,16718,2025,4
env_temperature,127,21.166666666666668,0.7297792297235812,16716,2025,4
env_temperature,128,21.333333333333332,0.7445842873184638,16713,2025,4
env_temperature,129,21.5,0.7589370142558827,16712,2025,4
env_temperature,130,21.666666666666668,0.7725936741995768,16710,2025,4
env_temperature,131,21.833333333333332,0.7856105788385184,16710,2025,4
env_temperature,132,22.0,0.7979249157771438,16707,2025,4
