safra,line,lag_passos,lag_horas,pearson,spearman,n,delta_umidade_media,delta_umidade_mediana
2025,2,6,1.0,-0.0015338475564904686,0.14380400016975808,14327,-0.0075088992810777,0.0
2025,2,12,2.0,0.004884002893024155,0.23195855387756303,12270,-0.003865118174409136,0.0
2025,2,18,3.0,0.015532324751186639,0.29042017619350224,10601,0.012832279973587372,-0.015000000000000568
2025,2,36,6.0,0.028841161578771885,0.41970198250435303,7036,0.05733868675383735,-0.03000000000000025
2025,2,72,12.0,0.1451701458833661,0.42091878951648015,3236,0.12511124845488253,-0.02499999999999991
2025,2,144,24.0,-0.4144245432831904,0.2782584982092284,624,0.6832692307692309,-0.02499999999999991
2025,5,1,0.16666666666666666,-0.010208514903578693,-0.1559600353537165,10321,0.001377773471562833,0.0
2025,5,3,0.5,-0.02160054562404998,-0.21557407219103286,9912,0.003582021791767554,0.0
2025,5,6,1.0,-0.024884932335766913,-0.2079187720534802,9351,0.013261148540263067,-0.029999999999997584
2025,5,12,2.0,-0.01590949261107746,-0.14592270460469584,8325,0.040694294294294275,-0.03999999999999915
2025,5,18,3.0,0.009762262815276283,-0.07039960420372653,7425,0.0725986531986532,-0.05999999999999872
2025,5,36,6.0,0.07334270736266153,0.1463905236124512,5315,0.2756500470366885,-0.11500000000000199
2025,5,72,12.0,0.02791197515536483,0.2783724784837714,2956,0.5872496617050067,-0.26499999999999524
2025,5,144,24.0,-0.20652319524011392,-0.16315808842491575,907,2.1357883131201763,-0.6200000000000045
2023,1,1,0.16666666666666666,-0.025791287792101214,0.10589823212475105,649,-0.0025269645608628614,0.0
2023,1,3,0.5,0.011987391988293747,0.2278786834028349,618,0.013187702265372171,-0.03999999999999915
2023,1,6,1.0,-0.045606766292469396,0.2807661181895502,581,0.004870912220309814,-0.05999999999999872
2023,1,12,2.0,-0.0204757799760057,0.3390699207695034,515,-0.05345631067961162,-0.10999999999999943
2023,1,18,3.0,0.03566340446077151,0.3373678516991957,452,-0.1301548672566371,-0.15000000000000213
2023,1,36,6.0,0.21835562890123114,0.23004181729012982,286,-0.6188111888111889,-0.35999999999999943
2023,1,72,12.0,0.5336954270103627,0.49659705802390786,100,-1.5175999999999998,-1.5350000000000001
2023,1,144,24.0,,,0,,
2023,2,1,0.16666666666666666,-0.153196124296708,-0.12560876652427783,643,-0.01049766718506999,0.0
2023,2,3,0.5,-0.21743323447254384,-0.17846638410057342,612,-0.03754901960784316,-0.05999999999999872
2023,2,6,1.0,-0.2813657469864383,-0.2278421723968489,571,-0.08579684763572681,-0.0799999999999983
2023,2,12,2.0,-0.3504030453721522,-0.26364227288506403,498,-0.19885542168674705,-0.18999999999999773
2023,2,18,3.0,-0.43530100502230573,-0.3637973404822436,439,-0.3256492027334853,-0.28999999999999915
2023,2,36,6.0,-0.6492428598712984,-0.6837242778479197,275,-0.7710545454545453,-0.6000000000000014
2023,2,72,12.0,-0.4536865337066163,-0.6381685799610743,97,-1.3570103092783505,-1.1799999999999997
2023,2,144,24.0,,,0,,
2023,3,1,0.16666666666666666,,,1,0.17999999999999972,0.17999999999999972
2023,3,3,0.5,,,0,,
2023,3,6,1.0,,,0,,
2023,3,12,2.0,,,0,,
2023,3,18,3.0,,,0,,
2023,3,36,6.0,,,0,,
2023,3,72,12.0,,,0,,
2023,3,144,24.0,,,0,,
2024,4,1,0.16666666666666666,-0.0008332090957415185,-0.05631055696021405,8781,-0.002454731807311237,0.0
2024,4,3,0.5,-0.004462269630663271,-0.07724785898177892,8293,-0.0021475943566863632,0.0
2024,4,6,1.0,-0.007380040122948004,-0.06942417405713944,7619,-0.006968106050662813,-0.02499999999999858
2024,4,12,2.0,-0.010353635143221367,-0.028581841283551155,6455,-0.01014639814097596,-0.030000000000001137
2024,4,18,3.0,-0.009659369471109078,0.017087199922495182,5440,-0.03054411764705881,-0.05000000000000071
2024,4,36,6.0,-0.01206077395163547,0.04440065551964344,3034,-0.06759063941990771,-0.08999999999999986
2024,4,72,12.0,-0.10563759824237168,-0.16958322348134708,895,-0.16898882681564234,-0.14499999999999957
2024,4,144,24.0,-0.3729412970186223,-0.5925762455892194,34,-0.44676470588235306,-0.16999999999999815
2024,2,1,0.16666666666666666,-0.028064130575039793,-0.13501442336152386,8946,-0.006994187346300018,0.0
2024,2,3,0.5,-0.04137495455036282,-0.1744070257244934,8532,-0.018680262541022022,0.0
2024,2,6,1.0,-0.0483995966464654,-0.17007600784176888,7949,-0.04287709145804501,-0.030000000000001137
2024,2,12,2.0,-0.046039443811248526,-0.14023144504262203,6892,-0.10199361578641901,-0.05000000000000071
2024,2,18,3.0,-0.04538563607381158,-0.10543912783934517,5929,-0.1655203238320121,-0.06999999999999851
